product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,Supermarkt
butter,1698740584-41,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturaplan Bio Butter,2.6,100g,Coop
butter,1698740584-42,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Free From Bio Vorzugsbutter,2.95,100g,Coop
butter,1698740584-43,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Prix Garantie Soft Butter mit Rapsöl,3.5,200g,Coop
butter,1698740584-44,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Naturli Bio streichzarter Block,4.1,200g,Coop
butter,1698740584-45,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Milco Beurre de Tradition,4.3,150g,Coop
butter,1698740584-46,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,EchtEntlebuch Heumilchbutter,3.45,150g,Coop
butter,1698740584-47,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Emmi good day Buttermousse,4.95,130g,Coop
butter,1698740584-48,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Cremo Butter streichbar,4.7,200g,Coop
butter,1698740584-49,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Beurre du Pays Butter,4.15,200g,Coop
butter,1698740584-50,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Die Butter Mödeli,3.95,250g,Coop
butter,1698740584-51,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Butter Mödeli,3.8,250g,Coop
butter,1698740584-52,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Die Butter Kochbutter,4.45,250g,Coop
butter,1698740584-53,https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance,Becel Classic,2.7,225g,Coop
