product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,Supermarkt
butter,1698740582-20,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Butter Le Marechal pasteurisiert,3.55,150g,Migros
butter,1698740582-21,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kochbutter,3.8,250g,Migros
butter,1698740582-22,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,3.6,200g,Migros
butter,1698740582-23,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,4.55,200g,Migros
butter,1698740582-24,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,4.4,200g,Migros
butter,1698740582-25,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Halbfettbutter,3.45,200g,Migros
butter,1698740582-26,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Joghurtbutter,4.85,200g,Migros
butter,1698740582-27,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Zigerbutter,2.8,80g,Migros
butter,1698740582-28,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,1.95,100g,Migros
butter,1698740582-29,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,4.2,200g,Migros
butter,1698740582-31,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Alpbutter,4.8,250g,Migros
butter,1698740582-32,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kochbutter,14.6,1000g,Migros
butter,1698740582-33,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Whiskybutter,3.75,80g,Migros
butter,1698740582-34,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,1.9,60g,Migros
butter,1698740582-35,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Migros Bio Kochbutter,4.65,220g,Migros
butter,1698740582-36,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Käsereibutter,3.7,200g,Migros
butter,1698740582-38,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,4.7,70g,Migros
butter,1698740582-39,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Trüffelbutter,5.9,80g,Migros
butter,1698740582-40,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter,2.75,150g,Migros
butter,1698740582-41,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,3.75,80g,Migros
butter,1698740582-42,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,3.95,100g,Migros
butter,1698740582-43,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter,5.0,120g,Migros
butter,1698740582-45,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.45,150g,Migros
butter,1698740582-46,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.15,150g,Migros
butter,1698740582-47,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,2.95,150g,Migros
butter,1698740582-48,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.7,150g,Migros
butter,1698740582-49,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter,3.2,150g,Migros
butter,1698740582-50,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Napfgoldbutter,2.1,100g,Migros
butter,1698740582-51,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter Roset,3.4,40g,Migros
butter,1698740582-53,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Vorzugsbutter IP-SUISSE,4.1,200g,Migros
butter,1698740582-55,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Kräuterbutter Diavolo,3.9,100g,Migros
butter,1698740582-56,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Züribieter Butterschaf,5.2,200g,Migros
butter,1698740582-57,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Valflora Vorzugsbutter,3.45,200g,Migros
butter,1698740582-58,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Berg Vorzugsbutter gesalzen,3.7,150g,Migros
butter,1698740582-59,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Floralp Vorzugsbutter Schale,2.4,100g,Migros
butter,1698740582-60,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Züribieter Molkereibutter,3.9,200g,Migros
butter,1698740582-61,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Margarine,2.9,250g,Migros
butter,1698740582-62,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Margarine,5.5,500g,Migros
butter,1698740582-63,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Anna's Best Laugenbrezel mit Butter,2.95,120g,Migros
butter,1698740582-64,https://www.migros.ch/de/search?query=Butter&filter.category=7494731,Anna's Best Kürbis Butter Nut gekocht,3.3,400g,Migros
