product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,Supermarkt
flour,1698742722-1,https://www.coop.ch/de/search?page=3&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Gelierzucker Suisse Garantie,2.4,1kg,Coop
flour,1698742725-3,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Sapori d'Italia Pastamehl,3.5,1kg,Coop
flour,1698742725-9,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Halbweissmehl,3.2,1kg,Coop
flour,1698742725-10,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Sapori d'Italia Manitobamehl,2.95,1kg,Coop
flour,1698742725-12,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Schär Brot-Mix glutenfrei,6.4,1kg,Coop
flour,1698742725-16,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Prix Garantie Feinkristallzucker,1.3,1kg,Coop
flour,1698742725-17,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Feinkristallzucker IP Suisse 10x  1kg,8.0,10kg,Coop
flour,1698742725-18,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Kristallzucker,2.7,1kg,Coop
flour,1698742725-21,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Fairtrade Rohzucker grob,2.3,1kg,Coop
flour,1698742725-23,https://www.coop.ch/de/search?page=2&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Fairtrade Rohzucker gemahlen,2.3,1kg,Coop
flour,1698742728-28,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Prix Garantie Weissmehl,1.0,1kg,Coop
flour,1698742728-29,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Weissmehl IP Suisse 10x  1kg,14.5,10kg,Coop
flour,1698742728-30,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio CH Weissmehl,3.2,1kg,Coop
flour,1698742728-31,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Sapori d'Italia Pizzamehl,2.95,1kg,Coop
flour,1698742728-32,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Urdinkelmehl hell,4.8,1kg,Coop
flour,1698742728-33,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Zopfmehl,3.8,1kg,Coop
flour,1698742728-34,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Vollkornmehl,3.2,1kg,Coop
flour,1698742728-35,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Dinkelmehl hell,3.8,1kg,Coop
flour,1698742728-37,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Ruchmehl,2.2,1kg,Coop
flour,1698742728-38,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Zopfmehl IP Suisse,2.4,1kg,Coop
flour,1698742728-39,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Bauernmehl,2.95,1kg,Coop
flour,1698742728-40,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Weissmehl Stadtmühle Zürich,2.3,1kg,Coop
flour,1698742728-41,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Knöpfli-Mehl,3.6,1kg,Coop
flour,1698742728-42,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,IP Suisse Weissmehl,4.95,2.5kg,Coop
flour,1698742728-43,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Prix Garantie Zopfmehl,2.0,1kg,Coop
flour,1698742728-45,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Ruchmehl,3.2,1kg,Coop
flour,1698742728-46,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Betty Bossi Universal Backmehlmix glutenfrei,4.95,1kg,Coop
flour,1698742728-51,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Roggenschrotmehl,3.5,1kg,Coop
flour,1698742728-53,https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance,Naturaplan Bio Roggenmehl hell,2.95,1kg,Coop
