product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,pieces_raw,Supermarkt
eggs,1698742125-48,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Picknick-Eier Freiland 6 x 50g+,4.85,6,Migros
eggs,1698742125-49,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,"Eier aus der Region Freiland, 12 x 53g+",7.15,12,Migros
eggs,1698742125-50,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Picknick-Eier Freiland 4 x 53g+,3.05,4,Migros
eggs,1698742125-51,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,1. August Eier CH Freiland 6x53g+,3.5,6,Migros
eggs,1698742125-52,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Migros Bio Eier 10 x 53g+,8.0,10,Migros
eggs,1698742125-53,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Aargauer Eier Freiland 12 x 53g+,7.6,12,Migros
eggs,1698742125-54,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Picknick-Eier Freiland 6 x 50g+,4.85,6,Migros
eggs,1698742125-55,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,"Walliser Eier Freiland, 4 x 63g+",2.95,4,Migros
eggs,1698742125-56,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Ostschweizer Eier Freiland 12 x 53g+,7.0,12,Migros
eggs,1698742125-57,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freiland Schweiz 6 x 53g+,3.95,6,Migros
eggs,1698742125-58,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Züribieter Eier Freiland 6 x 63g+,4.15,6,Migros
eggs,1698742125-59,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,"Walliser Eier Freiland, 10 x 53g+",5.9,10,Migros
eggs,1698742125-60,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Solothurner Eier Freiland 6 x 53g+,3.95,6,Migros
eggs,1698742125-61,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Migros Bio Eier CH Freilandhaltung 53g+,7.95,10,Migros
eggs,1698742125-62,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Berner Eier einzeln Freiland IP-SUISSE,0.75,1,Migros
eggs,1698742125-63,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freiland 6 x 53+ IP-SUISSE,3.95,6,Migros
eggs,1698742125-64,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freiland 6 x 63g+ IP-SUISSE,4.45,6,Migros
eggs,1698742125-65,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freiland 10 x 53g+ IP-SUISSE,6.0,10,Migros
eggs,1698742125-66,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,"Eier aus dem Jura CH Freiland, 6 x 63g",4.45,6,Migros
eggs,1698742125-67,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freiland 6 x 53g+ IP Suisse,3.95,6,Migros
eggs,1698742125-68,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Genfer Eier 4 x 63g+ IP-SUISSE,3.5,4,Migros
eggs,1698742125-69,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freilandhaltung 4 x 63g+ IP-SUISSE,2.9,4,Migros
eggs,1698742125-70,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Aargauer Eier 6 x 53g+ IP Suisse,3.95,6,Migros
eggs,1698742125-71,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Solothurner Eier 10 x 63g+ IP-SUISSE,6.9,10,Migros
eggs,1698742125-72,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Berner Eier 6 x 53g+ IP-SUISSE,3.95,6,Migros
eggs,1698742125-73,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Ostschweizer Eier IP-Suisse 6 x 63g+,4.3,6,Migros
eggs,1698742125-74,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Aargauer Eier 4 x 63g+ IP-SUISSE,2.9,4,Migros
eggs,1698742125-75,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Berner Eier 10 x 63g+ IP-SUISSE,6.9,10,Migros
eggs,1698742125-76,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Aargauer Eier 10 x 63g+ IP Suisse,6.9,10,Migros
eggs,1698742125-77,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Schweiz 10 x 63g IP-SUISSE,6.8,10,Migros
eggs,1698742125-78,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Freilandhaltung 10 x 63g+ IP-SUISSE,6.6,10,Migros
eggs,1698742125-79,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier Schweiz 4 x 63g IP-SUISSE,2.95,4,Migros
eggs,1698742125-80,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Picknickeier +Aromat CH Freiland 2 x 53g+,1.95,2,Migros
eggs,1698742125-81,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Eier FL LU 4 x 63+ IP-SUISSE,3.05,4,Migros
eggs,1698742125-82,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Berner Eier Freiland 12 x 53g+ IP-SUISSE,7.6,12,Migros
eggs,1698742125-83,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schweizer Wachteleier,5.7,8,Migros
eggs,1698742125-84,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Schachtel Offeneier,3.05,4,Migros
eggs,1698742125-85,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Früh seier 6 x 68g+ IP-SUISSE,4.5,6,Migros
eggs,1698742125-86,https://www.migros.ch/de/search?query=Eier&filter.category=7494731,Import Ostereier Freiland 50g+,4.5,6,Migros
