web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw,price_per_100g_raw
"1698740584-37","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Free From Vorzugsbutter lactosefrei","5.15","200g","2.58/100g"
"1698740584-38","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Naturaplan Bio Regio Butter Romandie","4.70","200g","2.35/100g"
"1698740584-39","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Halbfettbutter -50% Fett","3.45","200g","1.73/100g"
"1698740584-40","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Emmi Butter mit Rapsöl","4.25","200g","2.13/100g"
"1698740584-41","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Naturaplan Bio Butter","2.60","100g","2.60/100g"
"1698740584-42","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Free From Bio Vorzugsbutter","2.95","100g","2.95/100g"
"1698740584-43","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Prix Garantie Soft Butter mit Rapsöl","3.50","200g","1.75/100g"
"1698740584-44","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Naturli Bio streichzarter Block","4.10","200g","2.05/100g"
"1698740584-45","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Milco Beurre de Tradition","4.30","150g","2.87/100g"
"1698740584-46","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","EchtEntlebuch Heumilchbutter","3.45","150g","2.30/100g"
"1698740584-47","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Emmi good day Buttermousse","4.95","130g","3.81/100g"
"1698740584-48","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Cremo Butter streichbar","4.70","200g","2.35/100g"
"1698740584-49","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Beurre du Pays Butter","4.15","200g","2.08/100g"
"1698740584-50","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Die Butter Mödeli","3.95","250g","1.58/100g"
"1698740584-51","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Butter Mödeli","3.80","250g","1.52/100g"
"1698740584-52","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Die Butter Kochbutter","4.45","250g","1.78/100g"
"1698740584-53","https://www.coop.ch/de/search?page=1&pageSize=30&q=butter:relevance&text=butter&sort=relevance","Becel Classic","2.70","225g","1.20/100g"
