web-scraper-order,web-scraper-start-url,productname_raw,price_raw,price_per_kg_raw,weight_raw
"1698742728-30","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio CH Weissmehl","3.20","3.20/1kg","1kg"
"1698742728-31","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Sapori d'Italia Pizzamehl","2.95","2.95/1kg","1kg"
"1698742728-32","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Urdinkelmehl hell","4.80","4.80/1kg","1kg"
"1698742728-33","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Zopfmehl","3.80","3.80/1kg","1kg"
"1698742728-34","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Vollkornmehl","3.20","3.20/1kg","1kg"
"1698742728-35","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Dinkelmehl hell","3.80","3.80/1kg","1kg"
"1698742728-36","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Campiuns Urdinkel-Vollkornmehl","3.70","0.74/100g","500g"
"1698742728-37","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Ruchmehl","2.20","2.20/1kg","1kg"
"1698742728-38","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Zopfmehl IP Suisse","2.40","2.40/1kg","1kg"
"1698742728-39","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Bauernmehl","2.95","2.95/1kg","1kg"
"1698742728-40","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Weissmehl Stadtmühle Zürich","2.30","2.30/1kg","1kg"
"1698742728-41","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Knöpfli-Mehl","3.60","3.60/1kg","1kg"
"1698742728-42","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","IP Suisse Weissmehl","4.95","1.98/1kg","2.5kg"
"1698742728-43","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Prix Garantie Zopfmehl","2.00","2.00/1kg","1kg"
"1698742728-44","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Bio Buchweizenmehl glutenfrei","3.60","0.72/100g","500g"
"1698742728-45","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Ruchmehl","3.20","3.20/1kg","1kg"
"1698742728-46","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Betty Bossi Universal Backmehlmix glutenfrei","4.95","4.95/1kg","1kg"
"1698742728-47","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Bio Kichererbsenmehl glutenfrei","2.95","0.98/100g","300g"
"1698742728-48","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Reismehl Vollkorn glutenfrei","3.95","0.79/100g","500g"
"1698742728-49","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Vollkorn Hafermehl","4.50","1.50/100g","300g"
"1698742728-50","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio CH Weissmehl","1.70","0.34/100g","500g"
"1698742728-51","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Roggenschrotmehl","3.50","3.50/1kg","1kg"
"1698742728-52","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Maismehl glutenfrei","3.20","0.64/100g","500g"
"1698742728-53","https://www.coop.ch/de/search?page=1&pageSize=30&q=Mehl:relevance&text=Mehl&sort=relevance","Naturaplan Bio Roggenmehl hell","2.95","2.95/1kg","1kg"
